Id_LP;Age;Sex;Nationality;Native_language;Education;Professional_degree;Employment_main;Current_year_study;Institution_type;Time_ spent;Domain;Topic;Experience_time;Id_ LO_1;URL_1;Query_1;Reason_1;Id_ LO_2;URL_2;Query_2;Reason_2;Id_ LO_3;URL_3;Query_3;Reason_3;Comments;LP_documents_extension;Documents_language;Documents_type
97;40-44 years old;Woman;Chilean;Spanish;PhD;Computer engineering;Student;1st year;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1451;https://www.ticbeat.com/tecnologias/como-funcionan-las-redes-neuronales-artificiales-te-lo-explicamos-de-forma-sencilla/;redes neuronales artificiales para principiantes;texto breve, vocabulario sencillo, analogías con el cerebro humano, explica la idea general de las redes neuronales.;1452;https://www.bbc.com/mundo/noticias-41051680;redes neuronales profundas para adolescentes;ejemplos atractivos, formato de entrevista, vocabulario relativamente sencillo, ejemplos de la región;1453;https://blogthinkbig.com/redes-neuronales-deep-learning;redes neuronales y redes profundas diferencias;texto breve, vocabulario sencillo, se centra únicamente en las diferencias entre ambos tipos de redes.;Todo bien y muy claro;Short;Spanish;Text
98;35-39 years old;Man;Chilean;Spanish;Master;Computer engineering;Student;1st year;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1461;http://pabloem.github.io/Programando-una-red-neuronal/;código perceptron;Importancia en la materia;1462;https://eligeeducar.cl/aprendizaje-profundo-se-puede-alcanzar;aprendizaje profundo;Importante para entender el por qué el auge actual en el tema;1463;https://software.intel.com/es-es/ai/courses/tensorflow;aprendizaje profundo tensorflow;Aprender una API actual y práctica para el tema;;Long;Spanish;Text
99;40-44 years old;Man;Spanish;Spanish;PhD;;Lecturer;;Higher-level institution;2;Physics ;Quantum computing;< 1 year;4101;https://www.investigacionyciencia.es/revistas/investigacion-y-ciencia/el-origen-de-la-tecnologa-709/la-charla-15393;investigación y ciencia la charla;Es gracioso y despierta el interés (pero puede considerarse no adecuado para menores);4102;https://twitter.com/albaclierta/status/1138192171998339074?lang=es;Alba Cervera hilo computación cuántica;Es un hilo de Twitter escrito por una investigadora joven experta en el tema;4103;https://es.gizmodo.com/como-funciona-la-computacion-cuantica-explicado-de-man-1796976460;computación cuántica sencilla;Es un documento más extenso que cubre los aspectos básicos, la pena es que no encontré nada similar escrito por algún experto/a;;Short;Spanish;Text/Multimedia
100;18-24 years old;Man;Chilean;Spanish;Bachelor;Computer engineering;Student;6th year;Higher-level institution;1;Computer ;Artificial neural networks;< 1 year;1471;https://www.researchgate.net/publication/317153113_Deep_Learning_in_Medical_Imaging_General_Overview/link/59283f2daca27295a8057862/download;Deep Learning in Medical Imaging: General Overview;Explicación clara de redes neuronales, deep learning, redes convencionales y ejemplos médicos.;1472;http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/identic/article/view/1489/1425;"Redes Neuronales Artificiales: Una Revisión del Estado del Arte, Aplicaciones Y Tendencias
Futuras";Revision de la literatura e investigación sobre todo el tema, y en español.;1473;https://www.aprendemachinelearning.com/crear-una-red-neuronal-en-python-desde-cero/;aprende redes neuronales;Simpleza y ejemplos practicas para iniciar.;;Long;Spanish/English;Text
101;35-39 years old;Woman;Venezuelan;Spanish;PhD;Computer engineering;Student;1st year;Higher-level institution;4;Computer ;Artificial neural networks;< 1 year;1481;https://www.bbvaopenmind.com/tecnologia/mundo-digital/que-es-el-aprendijaze-profundo/;¿qué es una red neuronal?, ¿qué es una red neuronal profunda?, ¿en qué se diferencian?, de manera general ¿cómo funcionan?;Lectura sencilla para el público objetivo que ofrece suficiente información para responder a las preguntas;1482;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;¿qué es una red neuronal?, ¿qué es una red neuronal profunda?, ¿en qué se diferencian?, de manera general ¿cómo funcionan?;Este documento además de explicar los conceptos, vincula la información con el uso actual de las redes neuronales;1483;https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf;¿qué es una red neuronal?, ¿qué es una red neuronal profunda?, ¿en qué se diferencian?, de manera general ¿cómo funcionan?;Este trabajo permite ampliar aún mas las definiciones anteriormente presentadas;;Short;Spanish;Text
102;35-39 years old;Man;Chilean;Spanish;Master;Mathematics;Student;1st year;Research group;5;Computer ;Artificial neural networks;2-3 years;1491;https://inteligencia-analitica.com/introduccion-a-redes-neuronales/;redes neuronales introducción;Es corto, no entra en detalles técnicos;1492;https://www.aprendemachinelearning.com/crear-una-red-neuronal-en-python-desde-cero/;redes neuronales introducción;Muestra código con el que se puede ensayar;1493;https://iartificial.net/redes-neuronales-desde-cero-i-introduccion/;redes neuronales introducción;Es difícil encontrar buen material en español, sería más recomendable trabajar con tutoriales en ingles, hay mucho contenido en línea y de mucho mayor calidad.;;Short;Spanish;Text
103;50-54 years old;Man;Ecuadorian;Spanish;PhD;Astronautics;Faculty;;Research group;4;Physics ;Quantum computing;> 10 years;4111;https://es.wikipedia.org/wiki/Computaci%C3%B3n_cu%C3%A1ntica;computacion cuantica; Complejidad de la lectura, cantidad de información, vocabulario;4112;https://www.xataka.com/ordenadores/computacion-cuantica-que-es-de-donde-viene-y-que-ha-conseguido;computadora cuantica;el origen o fuente;4113;https://www.bbvaopenmind.com/tecnologia/mundo-digital/informatica-cuantica/;informatica cuantica;fuente, autor;;Short;Spanish;Text
106;55-59 years old;Man;Chilean;Spanish;PhD;Chemical engineer;Student;6th year;Higher-level institution;4;Industrial ;Industrial Revolution;6-9 years;3101;https://www.ingenioindustrial40.com/2018/04/13/la-primera-revolucion-industrial-la-industria-4-0/;Revoluciones industriales;Porque entrega una lectura que motiva a estudiantes de ingeniería a saber más del tema.;3102;https://www.stockabee.com/logistica-1a4/;Hitos de las revoluciones industriales;Porque entrega información más específica y resalta conceptos, personas e hitos en las diferentes revoluciones.;3103;https://www.worldenergytrade.com/articulos-tecnicos/energias-alternativas-at/industria-4-0-la-necesidad-de-gestionar-la-transicion-para-afrontar-el-impacto-de-las-nuevas-tecnologias;Revoluciones industriales en la actualidad;Porque da más detalles de la revolución 4.0 que es la que nuestros ingenieros deben comprender más profundamente, manejarse y usar para innovar.;;Short;Spanish;Text
107;25-29 years old;Man;Argentinian;Spanish;PhD;Physics;Student;2nd year;Research group;3;Physics ;Quantum computing;2-3 years;4121;https://www.ic-itcr.ac.cr/~jcastro/libro/libro/node4.html;introducción computación cuántica;Extensión relativamente corta, presentación del contexto anterior a la computación cuántica en forma histórica;4122;https://www.techedgegroup.com/es/blog/introduccion-computacion-cuantica-i;introducción computación cuántica;Continúa con la descripción histórica del primer texto y reseña otros acontecimientos posteriores importantes para el desarrollo de la computación cuántica;4123;https://www.techedgegroup.com/es/blog/introduccion-computacion-cuantica-ii;introducción computación cuántica;Continuación del segundo texto, describe los detalles más básicos dentro de la teoría desarrollada dentro del área;;Short;Spanish;Text
108;30-34 years old;Woman;Colombian;Spanish;PhD;Chemical engineer;Faculty;;Higher-level institution;0;Biology ;Bioethics of animal tissue cloning for human intake;< 1 year;6021;http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932019000400338&lang=es;Bioética;Me parece una buena introducción teórica y bien fundamentada al tema de la bioética en la investigación con animales desde un punto de vista filosófico e histórico.;6022;https://elgatoylacaja.com/de-ratones-y-humanos/;Bioética;Por el tema que trata, donde con un ejemplo claro, muestra como en las ciencias nunca hay una verdad absoluta y que la investigación con animales es uno de esos temas polémicos, difíciles de llegar a una sola conclusión. Es un punto interesante para debatir. ;6023;https://elgatoylacaja.com/noticias/monos-clonos/;Bioética;Por el lenguaje, lo corto que es y su planteamiento, especialmente me parecen de interés las preguntas finales para reflexionar y debatir después de todo lo leído. ;Solo agradecer por la invitación a participar y espero conocer los resultados de este estudio. Muchos éxitos.;Short;Spanish;Text
